txn_id,date_clean,description,amount_clean,txn_type
TXN00048,2025-01-01,ZOMATO ONLINE ORDER 4582,-1024.06,debit
TXN00049,2025-03-23,UPI-SPLITWISE-SETTLE-2193@okaxis,-37408.42,debit
TXN00050,2025-03-23,SWIGGY*ORD5011 BANGALORE,-180.22,debit
TXN00051,2025-04-20,DECATHLON SPORTS 6511,-1113.94,debit
TXN00052,2025-03-23,UPI-AJIO-3417@okicici,-481.45,debit
TXN00053,2025-04-18,UPI-DTHRECHARGE-8616@paytm,-2556.28,debit
TXN00054,2025-04-28,SWIGGY*ORD5786 BANGALORE,-1196.72,debit
TXN00055,2025-02-06,SWIGGY*ORD7396 BANGALORE,-985.58,debit
TXN00056,2025-03-03,UBER *TRIP 6862,-621.64,debit
TXN00057,2025-01-15,UPI-DIAGNOSTICLAB-6168@paytm,-2661.39,debit
TXN00058,2025-05-15,BIGBASKET.COM 5415,-1960.54,debit
TXN00059,2025-05-04,UPI-DOMINOS PIZZA-2940@okaxis,-392.63,debit
TXN00060,2025-03-16,UPI-NYKAA-6143@ybl,-4464.03,debit
TXN00061,2025-05-17,AIRTEL PAYMENTS BANK 6403,-2468.0,debit
TXN00062,2025-04-17,STEAM GAMES PURCHASE 5425,-997.41,debit
TXN00063,2025-01-28,UPI-MEESHOFOOD-2133@ybl,-403.94,debit
TXN00064,2025-03-14,UPI-HOUSERENT-5173@okhdfc,-17922.15,debit
TXN00065,2025-02-06,NATURE BASKET STORE 1960,-2379.88,debit
TXN00066,2025-03-20,NATURE BASKET STORE 6279,-3489.24,debit
TXN00067,2025-06-10,POS 5544 MYNTRA DESIGNS,-2276.67,debit
TXN00068,2025-06-20,POS 3391 MEDPLUS HEALTH,-414.62,debit
TXN00069,2025-06-15,NETFLIX.COM 5835,-1068.67,debit
TXN00070,2025-05-17,PARKPLUS TOLL 5722,-705.28,debit
TXN00071,2025-01-28,UPI-SPLITWISE-SETTLE-3060@okaxis,-53884.34,debit
TXN00072,2025-03-12,UPI-DMART-5573@okicici,-3382.31,debit
TXN00073,2025-06-14,AIRTEL PAYMENTS BANK 2591,-1894.43,debit
TXN00074,2025-03-31,IRCTC WEB 4505,-735.27,debit
TXN00075,2025-06-17,FLIPKART*ORDER3306,-3049.98,debit
TXN00076,2025-04-14,SPOTIFY AB 2983,-422.2,debit
TXN00077,2025-04-02,NEFT-RENT-LANDLORD-7232,-16698.52,debit
TXN00078,2025-03-29,UPI-CHAIPOINT-4841@okhdfc,-532.48,debit
TXN00079,2025-04-14,BBPS-BROADBAND-ACT-2669,-731.14,debit
TXN00080,2025-04-15,FORTIS HOSPITAL BILLDESK 1672,-3359.47,debit
TXN00081,2025-06-25,IRCTC WEB 7797,-387.38,debit
TXN00082,2025-02-20,POS 8810 RETAIL OUTLET,-3680.34,debit
TXN00083,2025-05-12,POS 6631 CROMA ELECTRONICS,-502.99,debit
TXN00084,2025-05-15,POS 1000 SERVICES PVT LTD,-831.88,debit
TXN00085,2025-06-10,UPI-NYKAA-5901@ybl,-3854.79,debit
TXN00086,2025-01-09,UPI-NYKAA-4150@ybl,-653.27,debit
TXN00087,2025-04-26,UPI-JIOPREPAID-4180@okaxis,-870.27,debit
TXN00088,2025-06-05,UPI-BYJUS-2121@okaxis,-12237.98,debit
TXN00089,2025-03-01,NEFT-FREELANCE-PAYMENT-3442,-30562.52,debit
TXN00090,2025-02-13,POS 5544 MYNTRA DESIGNS,-4853.04,debit
TXN00091,2025-01-19,UPI-DTHRECHARGE-9669@paytm,-655.49,debit
TXN00092,2025-01-01,UPI-JIOPREPAID-7912@okaxis,-278.22,debit
TXN00093,2025-01-30,NETFLIX.COM 4750,-1296.45,debit
TXN00094,2025-04-23,BSNL LANDLINE BILL 8753,-2998.49,debit
TXN00095,2025-03-19,NATURE BASKET STORE 3851,-2994.78,debit
TXN00096,2025-05-22,IMPS-FROM-RAHUL-K-8483,43623.62,credit
TXN00097,2025-06-18,UPI-BOOKMYSHOW-7511@okhdfc,-1177.38,debit
TXN00098,2025-03-13,UBER *TRIP 2889,-873.91,debit
TXN00099,2025-02-04,DECATHLON SPORTS 4006,-5642.47,debit
TXN00100,2025-05-18,UPI-HPCLPETROL-9431@paytm,-281.32,debit
TXN00101,2025-05-10,POS 9001 INDIAN OIL PETROL,-69.1,debit
TXN00102,2025-04-16,STARBUCKS COFFEE #1207,-635.81,debit
TXN00103,2025-05-22,POS 8842 PVR CINEMAS,-1089.99,debit
TXN00104,2025-06-10,UPI-HOUSERENT-2210@okhdfc,-8108.56,debit
TXN00105,2025-02-13,BBPS-BROADBAND-ACT-7615,-3376.72,debit
TXN00106,2025-04-10,UPI-DMART-1659@okicici,-898.54,debit
TXN00107,2025-05-16,NATURE BASKET STORE 9056,-1250.79,debit
TXN00108,2025-02-02,UPI-BURGERKING-8744@paytm,-908.57,debit
TXN00109,2025-06-14,POS 1000 SERVICES PVT LTD,-1429.72,debit
TXN00110,2025-02-21,NEFT-SALARY-CREDIT-3200,12149.57,credit
TXN00111,2025-03-21,POS 5544 MYNTRA DESIGNS,-3794.58,debit
TXN00112,2025-04-06,UPI-SPLITWISE-SETTLE-9751@okaxis,-38932.08,debit
TXN00113,2025-06-14,POS 3391 MEDPLUS HEALTH,-220.48,debit
TXN00114,2025-01-09,NETFLIX.COM 4733,-674.71,debit
TXN00115,2025-05-18,UPI-NYKAA-5135@ybl,-4876.73,debit
TXN00116,2025-04-10,UPI-BOOKMYSHOW-4266@okhdfc,-724.34,debit
TXN00117,2025-02-03,UPI-BYJUS-2612@okaxis,-14472.49,debit
TXN00118,2025-03-04,IMPS-FROM-RAHUL-K-3662,26771.06,credit
TXN00119,2025-04-13,UPI-PRACTO-6096@okicici,-2410.72,debit
TXN00120,2025-06-01,POS 8842 PVR CINEMAS,-1493.13,debit
TXN00121,2025-05-18,AMAZON.IN 4073,-5536.96,debit
TXN00122,2025-06-29,IMPS-MAINTENANCE-SOC-1992,-15689.41,debit
TXN00123,2025-04-07,UPI-ZEPTO-4467@okaxis,-854.8,debit
TXN00124,2025-01-13,AIRTEL PAYMENTS BANK 9751,-2568.53,debit
TXN00125,2025-05-07,CASH DEPOSIT BRANCH 4404,5587.76,credit
TXN00126,2025-01-26,POS 1140 UDEMY ONLINE,-14082.58,debit
TXN00127,2025-06-02,UPI-CHAIPOINT-6546@okhdfc,-880.82,debit
TXN00128,2025-01-29,IMPS-TO-MOM-4295,-53963.97,debit
TXN00129,2025-01-10,UPI-TUITIONFEE-5554@ybl,-2543.4,debit
TXN00130,2025-04-30,POS 6631 CROMA ELECTRONICS,-3563.11,debit
TXN00131,2025-01-12,POS 9001 INDIAN OIL PETROL,-650.83,debit
TXN00132,2025-01-28,NATURE BASKET STORE 4470,-1417.47,debit
TXN00133,2025-05-08,POS 4521 CCD MG ROAD,-1008.32,debit
TXN00134,2025-06-09,SWIGGY*ORD5806 BANGALORE,-430.38,debit
TXN00135,2025-06-09,POS 2210 LIFESTYLE STORE,-4196.89,debit
TXN00136,2025-04-21,UPI-RAPIDO-1166@ybl,-204.36,debit
TXN00137,2025-03-16,POS 7719 BARBEQUE NATION,-320.75,debit
TXN00138,2025-04-19,COURSERA INC 8613,-11555.65,debit
TXN00139,2025-05-19,POS 6631 CROMA ELECTRONICS,-3434.65,debit
TXN00140,2025-02-19,UPI-ZEPTO-2127@okaxis,-2302.75,debit
TXN00141,2025-05-26,UPI-NYKAA-9903@ybl,-2385.88,debit
TXN00142,2025-03-10,UPI-DIAGNOSTICLAB-5065@paytm,-509.15,debit
TXN00143,2025-03-02,FORTIS HOSPITAL BILLDESK 3426,-1664.64,debit
TXN00144,2025-06-11,POS 7719 BARBEQUE NATION,-1128.63,debit
TXN00145,2025-02-27,POS 4521 CCD MG ROAD,-583.25,debit
TXN00146,2025-03-25,POS 6631 CROMA ELECTRONICS,-2971.16,debit
TXN00147,2025-02-15,NEFT-TRANSFER-6180,-7406.32,debit
TXN00148,2025-06-27,UPI-REFUND-AMAZON-1536@ybl,38367.6,credit
TXN00149,2025-03-10,POS 3320 SPENCERS RETAIL,-1876.4,debit
TXN00150,2025-05-26,UPI-TUITIONFEE-9824@ybl,-3962.27,debit
TXN00151,2025-06-26,UPI-DTHRECHARGE-7686@paytm,-3242.23,debit
TXN00152,2025-02-15,METRO RECHARGE CARD 5272,-569.96,debit
TXN00153,2025-06-29,STARBUCKS COFFEE #9920,-724.97,debit
TXN00154,2025-06-07,STEAM GAMES PURCHASE 2646,-1072.4,debit
TXN00155,2025-04-23,UPI-NYKAA-7971@ybl,-5583.18,debit
TXN00156,2025-03-26,POS 6631 CROMA ELECTRONICS,-1250.66,debit
TXN00157,2025-06-01,POS 6631 CROMA ELECTRONICS,-5349.2,debit
TXN00158,2025-01-15,POS 9001 INDIAN OIL PETROL,-696.67,debit
TXN00159,2025-04-26,POS 4470 GAMEZONE ARCADE,-760.79,debit
TXN00160,2025-04-24,POS 9001 INDIAN OIL PETROL,-389.15,debit
TXN00161,2025-03-10,UPI-P2M-4728@ybl,-3024.5,debit
TXN00162,2025-06-22,MC DONALDS IN 3222,-887.59,debit
TXN00163,2025-02-06,UPI-MEESHOFOOD-8886@ybl,-676.59,debit
TXN00164,2025-04-14,BBPS-WATERBOARD-7498,-452.69,debit
TXN00165,2025-06-21,UPI-DTHRECHARGE-1410@paytm,-244.16,debit
TXN00166,2025-06-06,MORE SUPERMARKET 4727,-1492.6,debit
TXN00167,2025-05-30,IMPS-FROM-RAHUL-K-9229,39153.98,credit
TXN00168,2025-01-30,BBPS-ELECTRICITY-2163,-3036.67,debit
TXN00169,2025-05-14,BBPS-WATERBOARD-6280,-3620.07,debit
TXN00170,2025-02-15,POS 1187 RELIANCE FRESH,-2725.11,debit
TXN00171,2025-05-29,PARKPLUS TOLL 7246,-853.02,debit
TXN00172,2025-05-20,SPOTIFY AB 1224,-393.78,debit
TXN00173,2025-02-03,UPI-HPCLPETROL-8651@paytm,-413.96,debit
TXN00175,2025-01-20,POS 3391 MEDPLUS HEALTH,-2536.52,debit
TXN00176,2025-03-24,POS 7765 NETMEDS PHARMACY,-3148.22,debit
TXN00177,2025-05-16,POS 6631 CROMA ELECTRONICS,-2391.77,debit
TXN00178,2025-01-06,ZOMATO ONLINE ORDER 6881,-669.94,debit
TXN00179,2025-04-27,UPI-P2M-1231@ybl,-4115.81,debit
TXN00180,2025-05-11,UPI-HOUSERENT-2169@okhdfc,-10369.05,debit
TXN00181,2025-05-15,BBPS-ELECTRICITY-2496,-1791.33,debit
TXN00182,2025-01-17,UPI-HOTSTAR-5304@ybl,-1405.09,debit
TXN00183,2025-03-10,POS 8810 RETAIL OUTLET,-1065.38,debit
TXN00184,2025-04-07,COURSERA INC 1823,-3205.22,debit
TXN00185,2025-01-24,POS 4521 CCD MG ROAD,-244.8,debit
TXN00186,2025-04-24,UPI-4155-PAYMENT@paytm,-2277.1,debit
TXN00187,2025-05-20,UPI-TUITIONFEE-2989@ybl,-14188.86,debit
TXN00188,2025-04-02,NATURE BASKET STORE 7381,-2582.72,debit
TXN00189,2025-03-11,BBPS-WATERBOARD-6378,-2416.8,debit
TXN00190,2025-05-02,BIGBASKET.COM 5136,-2090.85,debit
TXN00191,2025-01-04,APOLLO PHARMACY 3615,-3002.83,debit
TXN00192,2025-06-10,BIGBASKET.COM 8622,-2962.83,debit
TXN00193,2025-04-21,NATURE BASKET STORE 9004,-1778.42,debit
TXN00194,2025-06-11,BBPS-WATERBOARD-5097,-606.53,debit
TXN00195,2025-04-04,POS 4470 GAMEZONE ARCADE,-177.1,debit
TXN00196,2025-03-30,POS 4521 CCD MG ROAD,-1067.26,debit
TXN00197,2025-05-18,AMAZON.IN 4073,-5536.96,debit
TXN00198,2025-01-04,UPI-7924-PAYMENT@paytm,-3802.25,debit
TXN00199,2025-04-27,UPI-BOOKMYSHOW-5494@okhdfc,-1447.44,debit
TXN00200,2025-01-15,UPI-OLACABS-4456@okhdfc,-71.61,debit
TXN00201,2025-05-18,APOLLO PHARMACY 9889,-1868.77,debit
TXN00202,2025-06-11,IMPS-TO-MOM-8916,-20841.39,debit
TXN00203,2025-01-29,POS 6631 CROMA ELECTRONICS,-4115.61,debit
TXN00204,2025-02-01,UPI-DOMINOS PIZZA-5562@okaxis,-1171.66,debit
TXN00205,2025-04-29,UPI-BOOKMYSHOW-9042@okhdfc,-433.37,debit
TXN00206,2025-05-02,ATM WDL CASH 2869,-11324.72,debit
TXN00207,2025-03-22,BBPS-BROADBAND-ACT-4262,-3134.81,debit
TXN00208,2025-01-25,UPI-SPLITWISE-SETTLE-6310@okaxis,-1486.98,debit
TXN00209,2025-05-09,UPI-CHAIPOINT-5632@okhdfc,-607.93,debit
TXN00211,2025-01-01,POS 1187 RELIANCE FRESH,-2223.57,debit
TXN00212,2025-03-30,UPI-ZEPTO-9849@okaxis,-2309.28,debit
TXN00213,2025-05-03,UPI-BURGERKING-5978@paytm,-901.77,debit
TXN00214,2025-01-08,POS 7765 NETMEDS PHARMACY,-4850.96,debit
TXN00215,2025-06-16,POS 2210 LIFESTYLE STORE,-1935.61,debit
TXN00217,2025-03-19,UPI-GASBILLPAY-7653@ybl,-1981.03,debit
TXN00218,2025-05-07,UPI-GASBILLPAY-2330@ybl,-300.82,debit
TXN00219,2025-06-18,IMPS-TO-MOM-6992,-8309.07,debit
TXN00220,2025-02-18,UPI-BURGERKING-2638@paytm,-605.54,debit
TXN00221,2025-01-18,AMAZON.IN 2796,-1016.29,debit
TXN00222,2025-02-18,UPI-DOMINOS PIZZA-9288@okaxis,-796.64,debit
TXN00223,2025-06-29,UPI-AJIO-6942@okicici,-848.64,debit
TXN00224,2025-05-13,POS 6631 CROMA ELECTRONICS,-5046.55,debit
TXN00225,2025-06-05,METRO RECHARGE CARD 8994,-862.3,debit
TXN00226,2025-05-27,METRO RECHARGE CARD 4090,-85.78,debit
TXN00227,2025-06-09,NATURE BASKET STORE 3950,-3021.86,debit
TXN00228,2025-03-03,UPI-BLINKIT-2684@ybl,-2833.05,debit
TXN00229,2025-03-28,UPI-HOTSTAR-8939@ybl,-526.1,debit
TXN00230,2025-01-24,UNIVERSITY EXAM FEE 4258,-9686.18,debit
TXN00231,2025-03-24,UPI-AJIO-2988@okicici,-5717.32,debit
TXN00232,2025-04-21,UPI-AJIO-8800@okicici,-1258.77,debit
TXN00233,2025-05-24,DECATHLON SPORTS 4122,-5361.48,debit
TXN00234,2025-03-03,UPI-HPCLPETROL-3532@paytm,-127.53,debit
TXN00235,2025-01-18,POS 8842 PVR CINEMAS,-878.11,debit
TXN00236,2025-02-06,IMPS-TO-MOM-4872,-54837.81,debit
TXN00237,2025-05-26,FORTIS HOSPITAL BILLDESK 9022,-2164.65,debit
TXN00238,2025-03-13,POS 1140 UDEMY ONLINE,-9626.28,debit
TXN00239,2025-03-19,UPI-RAPIDO-3085@ybl,-373.76,debit
TXN00240,2025-03-23,UPI-AJIO-7291@okicici,-1592.6,debit
TXN00241,2025-01-30,SWIGGY*ORD6413 BANGALORE,-746.72,debit
TXN00242,2025-02-07,PARKPLUS TOLL 3536,-511.25,debit
TXN00243,2025-01-29,POS 8810 RETAIL OUTLET,-1300.53,debit
TXN00244,2025-05-24,UPI-SPLITWISE-SETTLE-3236@okaxis,-14361.09,debit
TXN00247,2025-01-21,UPI-P2M-8123@ybl,-3813.56,debit
TXN00248,2025-04-07,POS 7719 BARBEQUE NATION,-408.26,debit
TXN00249,2025-05-09,POS 8842 PVR CINEMAS,-702.71,debit
TXN00251,2025-03-26,ATM WDL CASH 9270,-8168.34,debit
TXN00252,2025-02-28,UPI-MEESHOFOOD-8007@ybl,-1051.33,debit
TXN00253,2025-05-10,SPOTIFY AB 4241,-1229.8,debit
TXN00254,2025-03-16,UPI-AJIO-6967@okicici,-5006.21,debit
TXN00255,2025-03-07,SPOTIFY AB 7745,-1103.43,debit
TXN00256,2025-06-18,POS 0092 GENERAL STORE,-3246.71,debit
TXN00257,2025-06-10,POS 2210 LIFESTYLE STORE,-1300.26,debit
TXN00258,2025-03-23,BBPS-ELECTRICITY-2746,-2441.69,debit
TXN00259,2025-02-10,UPI-BURGERKING-8811@paytm,-804.03,debit
TXN00260,2025-04-22,APOLLO PHARMACY 5820,-4667.38,debit
TXN00261,2025-05-29,NATURE BASKET STORE 1715,-1636.26,debit
TXN00262,2025-02-06,BBPS-ELECTRICITY-2528,-3278.43,debit
TXN00263,2025-05-26,POS 3391 MEDPLUS HEALTH,-3864.54,debit
TXN00264,2025-05-20,POS 0092 GENERAL STORE,-2557.84,debit
TXN00267,2025-04-06,STARBUCKS COFFEE #7624,-603.24,debit
TXN00268,2025-02-26,MORE SUPERMARKET 9280,-2312.62,debit
TXN00269,2025-01-26,FLIPKART*ORDER6947,-4269.25,debit
TXN00270,2025-01-03,STEAM GAMES PURCHASE 9928,-338.32,debit
TXN00271,2025-01-09,APOLLO PHARMACY 4814,-4160.81,debit
TXN00272,2025-04-26,POS 3320 SPENCERS RETAIL,-1747.1,debit
TXN00273,2025-05-29,IMPS-FROM-RAHUL-K-7274,47287.53,credit
TXN00274,2025-02-26,AMAZON.IN 2512,-4516.4,debit
TXN00275,2025-03-14,UPI-GASBILLPAY-1626@ybl,-3811.56,debit
TXN00276,2025-05-29,IRCTC WEB 9115,-571.4,debit
TXN00277,2025-04-23,UPI-BLINKIT-6016@ybl,-2241.49,debit
TXN00278,2025-04-19,POS 2210 LIFESTYLE STORE,-1791.54,debit
TXN00279,2025-04-09,NATURE BASKET STORE 5133,-3069.62,debit
TXN00280,2025-06-15,APOLLO PHARMACY 6977,-1181.77,debit
TXN00281,2025-01-17,BBPS-WATERBOARD-8517,-1069.43,debit
TXN00282,2025-03-28,UPI-GASBILLPAY-8206@ybl,-537.07,debit
TXN00283,2025-04-05,UPI-AJIO-8999@okicici,-1070.67,debit
TXN00284,2025-02-20,POS 7765 NETMEDS PHARMACY,-2919.82,debit
TXN00285,2025-04-12,UPI-AJIO-8619@okicici,-1152.72,debit
TXN00286,2025-04-16,UPI-TUITIONFEE-2729@ybl,-11340.34,debit
TXN00287,2025-03-14,POS 7719 BARBEQUE NATION,-628.44,debit
TXN00288,2025-06-21,BSNL LANDLINE BILL 4626,-1691.48,debit
TXN00289,2025-06-10,POS 1000 SERVICES PVT LTD,-3338.1,debit
TXN00290,2025-04-12,POS 4470 GAMEZONE ARCADE,-1486.45,debit
TXN00291,2025-03-27,POS 8842 PVR CINEMAS,-616.65,debit
TXN00292,2025-05-24,CASH DEPOSIT BRANCH 2143,52270.88,credit
TXN00293,2025-03-14,SPOTIFY AB 8149,-524.46,debit
TXN00294,2025-05-19,UPI-BOOKMYSHOW-5375@okhdfc,-1138.5,debit
TXN00295,2025-03-12,NEFT-TRANSFER-9785,-53523.02,debit
TXN00296,2025-01-20,UPI-HOTSTAR-5371@ybl,-1449.3,debit
TXN00297,2025-04-19,UPI-BYJUS-5569@okaxis,-986.22,debit
TXN00298,2025-01-23,IMPS-TO-MOM-3927,-59146.2,debit
TXN00299,2025-01-28,UPI-MEESHOFOOD-3705@ybl,-814.76,debit
TXN00300,2025-06-22,SWIGGY*ORD5986 BANGALORE,-1186.0,debit
TXN00301,2025-05-26,NATURE BASKET STORE 6568,-1835.6,debit
TXN00302,2025-03-01,NEFT-FREELANCE-PAYMENT-3442,-30562.52,debit
TXN00303,2025-01-18,POS 4521 CCD MG ROAD,-598.46,debit
TXN00304,2025-05-17,METRO RECHARGE CARD 6260,-93.71,debit
TXN00305,2025-03-10,UPI-TUITIONFEE-4644@ybl,-13642.14,debit
TXN00306,2025-03-16,UPI-JIOPREPAID-5920@okaxis,-1789.32,debit
TXN00307,2025-02-28,FLIPKART*ORDER2232,-4604.88,debit
TXN00308,2025-06-11,POS 2210 LIFESTYLE STORE,-3431.09,debit
TXN00309,2025-02-27,UPI-GASBILLPAY-1722@ybl,-3265.97,debit
TXN00310,2025-01-08,UNIVERSITY EXAM FEE 5333,-8427.3,debit
TXN00311,2025-05-15,UPI-BOOKMYSHOW-8708@okhdfc,-261.78,debit
TXN00312,2025-01-25,CASH DEPOSIT BRANCH 9689,35658.13,credit
TXN00313,2025-04-14,IMPS-FROM-RAHUL-K-2245,34681.15,credit
TXN00314,2025-06-10,ZOMATO ONLINE ORDER 7267,-1065.44,debit
TXN00315,2025-03-05,IMPS-TO-MOM-3900,-45809.88,debit
TXN00316,2025-01-13,STEAM GAMES PURCHASE 2169,-306.42,debit
TXN00317,2025-02-07,UPI-BLINKIT-1958@ybl,-2190.67,debit
TXN00318,2025-03-12,UPI-P2M-9346@ybl,-5831.32,debit
TXN00319,2025-04-23,UPI-SPLITWISE-SETTLE-6419@okaxis,-7237.66,debit
TXN00320,2025-04-16,UPI-TUITIONFEE-2729@ybl,-11340.34,debit
TXN00321,2025-05-20,POS 2210 LIFESTYLE STORE,-1638.77,debit
TXN00322,2025-03-10,UPI-DMART-7267@okicici,-2086.89,debit
TXN00323,2025-01-18,IRCTC WEB 9348,-811.68,debit
TXN00324,2025-06-21,UPI-DTHRECHARGE-5951@paytm,-2480.08,debit
TXN00325,2025-01-02,BIGBASKET.COM 4257,-1273.58,debit
TXN00326,2025-01-11,UPI-NYKAA-3664@ybl,-4724.57,debit
TXN00327,2025-04-20,UPI-NYKAA-5232@ybl,-1683.81,debit
TXN00329,2025-03-21,POS 6631 CROMA ELECTRONICS,-1123.29,debit
TXN00330,2025-04-21,UPI-DTHRECHARGE-8342@paytm,-2122.38,debit
TXN00331,2025-05-03,SWIGGY*ORD3485 BANGALORE,-176.66,debit
TXN00332,2025-06-13,BIGBASKET.COM 9138,-446.37,debit
TXN00333,2025-03-21,UPI-ZEPTO-2530@okaxis,-2449.44,debit
TXN00334,2025-06-03,UPI-UNACADEMY-9742@paytm,-8911.25,debit
TXN00335,2025-05-21,NEFT-SALARY-CREDIT-8560,56683.86,credit
TXN00336,2025-04-25,IRCTC WEB 4138,-388.44,debit
TXN00337,2025-01-06,UPI-REFUND-AMAZON-2674@ybl,26689.07,credit
TXN00338,2025-05-17,BBPS-WATERBOARD-1601,-485.52,debit
TXN00339,2025-02-03,STARBUCKS COFFEE #2790,-459.17,debit
TXN00340,2025-05-06,IMPS-MAINTENANCE-SOC-8025,-22546.84,debit
TXN00341,2025-02-15,UPI-ZEPTO-4910@okaxis,-1092.74,debit
TXN00342,2025-04-10,NETFLIX.COM 6733,-527.97,debit
TXN00343,2025-05-08,POS 7719 BARBEQUE NATION,-422.39,debit
TXN00345,2025-06-29,POS 9001 INDIAN OIL PETROL,-497.44,debit
TXN00346,2025-04-11,FORTIS HOSPITAL BILLDESK 3496,-1514.29,debit
TXN00347,2025-06-14,UPI-BLINKIT-5106@ybl,-2765.3,debit
TXN00348,2025-03-14,UPI-JIOPREPAID-7311@okaxis,-1962.05,debit
TXN00349,2025-05-10,POS 8842 PVR CINEMAS,-808.03,debit
TXN00350,2025-01-20,BIGBASKET.COM 2876,-1463.61,debit
TXN00351,2025-04-14,SWIGGY*ORD6111 BANGALORE,-1135.26,debit
TXN00352,2025-06-19,POS 2210 LIFESTYLE STORE,-4239.17,debit
TXN00353,2025-05-21,FLIPKART*ORDER4681,-2065.15,debit
TXN00354,2025-04-08,UPI-NYKAA-7211@ybl,-2698.22,debit
TXN00355,2025-05-06,UPI-1MG-8381@ybl,-1291.54,debit
TXN00356,2025-03-02,POS 1000 SERVICES PVT LTD,-3640.45,debit
TXN00357,2025-04-06,POS 4470 GAMEZONE ARCADE,-533.1,debit
TXN00358,2025-03-21,UPI-DIAGNOSTICLAB-4848@paytm,-1855.0,debit
TXN00359,2025-05-31,UPI-TUITIONFEE-2633@ybl,-3203.35,debit
TXN00360,2025-06-09,UPI-HPCLPETROL-3385@paytm,-727.81,debit
TXN00361,2025-04-09,UPI-1MG-1317@ybl,-1363.72,debit
TXN00362,2025-01-24,FLIPKART*ORDER5889,-2459.59,debit
TXN00363,2025-05-17,POS 0092 GENERAL STORE,-1139.24,debit
TXN00364,2025-01-03,PARKPLUS TOLL 5557,-361.41,debit
TXN00365,2025-05-05,DECATHLON SPORTS 4697,-4879.53,debit
TXN00366,2025-05-30,UPI-REFUND-AMAZON-2644@ybl,31004.97,credit
