txn_id,date,description,true_category,amount
TXN00106,10-04-2025,UPI-DMART-1659@okicici,Groceries,Rs. -898.54
TXN00107,16-05-2025,NATURE BASKET STORE 9056,Groceries,-1250.79
TXN00108,02-02-2025,UPI-BURGERKING-8744@paytm,Food & Dining,-908.57
TXN00109,14-06-2025,POS 1000 SERVICES PVT LTD,Bills & Utilities,-1429.72
TXN00110,21-02-2025,NEFT-SALARY-CREDIT-3200,Income & Transfers,"Rs. 12,149.57"
TXN00111,21-03-2025,POS 5544 MYNTRA DESIGNS,Shopping,-3794.58
TXN00112,06-04-2025,UPI-SPLITWISE-SETTLE-9751@okaxis,Income & Transfers,-38932.08
TXN00113,14-06-2025,POS 3391 MEDPLUS HEALTH,Healthcare,Rs. -220.48
TXN00114,09-01-2025,NETFLIX.COM 4733,Entertainment,-674.71
TXN00115,18-05-2025,UPI-NYKAA-5135@ybl,Shopping,-4876.73
TXN00116,10-04-2025,UPI-BOOKMYSHOW-4266@okhdfc,Entertainment,-724.34
TXN00117,03-02-2025,UPI-BYJUS-2612@okaxis,Education,-14472.49
TXN00118,04-03-2025,IMPS-FROM-RAHUL-K-3662,Income & Transfers,26771.06
TXN00119,13-04-2025,UPI-PRACTO-6096@okicici,Healthcare,"Rs. -2,410.72"
TXN00120,01-06-2025,POS 8842 PVR CINEMAS,Entertainment,"Rs. -1,493.13"
TXN00121,18-05-2025,AMAZON.IN 4073,Shopping,-5536.96
TXN00122,29-06-2025,IMPS-MAINTENANCE-SOC-1992,Rent & Housing,"Rs. -15,689.41"
TXN00123,07-04-2025,UPI-ZEPTO-4467@okaxis,Groceries,-854.80
TXN00124,13-01-2025,AIRTEL PAYMENTS BANK 9751,Bills & Utilities,-2568.53
TXN00125,07-05-2025,CASH DEPOSIT BRANCH 4404,Income & Transfers,5587.76
TXN00126,26-01-2025,POS 1140 UDEMY ONLINE,Education,-14082.58
TXN00127,02-06-2025,UPI-CHAIPOINT-6546@okhdfc,Food & Dining,Rs. -880.82
TXN00128,29-01-2025,IMPS-TO-MOM-4295,Income & Transfers,"Rs. -53,963.97"
TXN00129,10-01-2025,UPI-TUITIONFEE-5554@ybl,Education,"Rs. -2,543.40"
TXN00130,30-04-2025,POS 6631 CROMA ELECTRONICS,Shopping,-3563.11
TXN00131,12-01-2025,POS 9001 INDIAN OIL PETROL,Transport,-650.83
TXN00132,28-01-2025,NATURE BASKET STORE 4470,Groceries,"Rs. -1,417.47"
TXN00133,08-05-2025,POS 4521 CCD MG ROAD,Food & Dining,-1008.32
TXN00134,09-06-2025,SWIGGY*ORD5806 BANGALORE,Food & Dining,-430.38
TXN00135,09-06-2025,POS 2210 LIFESTYLE STORE,Shopping,"Rs. -4,196.89"
TXN00136,21-04-2025,UPI-RAPIDO-1166@ybl,Transport,-204.36
TXN00137,16-03-2025,POS 7719 BARBEQUE NATION,Food & Dining,Rs. -320.75
TXN00138,19-04-2025,COURSERA INC 8613,Education,-11555.65
TXN00139,19-05-2025,POS 6631 CROMA ELECTRONICS,Shopping,-3434.65
TXN00140,19-02-2025,UPI-ZEPTO-2127@okaxis,Groceries,"Rs. -2,302.75"
TXN00141,26-05-2025,UPI-NYKAA-9903@ybl,Shopping,-2385.88
TXN00142,10-03-2025,UPI-DIAGNOSTICLAB-5065@paytm,Healthcare,-509.15
TXN00143,02-03-2025,FORTIS HOSPITAL BILLDESK 3426,Healthcare,-1664.64
TXN00144,11-06-2025,POS 7719 BARBEQUE NATION,Food & Dining,-1128.63
TXN00145,27-02-2025,POS 4521 CCD MG ROAD,Food & Dining,-583.25
TXN00146,25-03-2025,POS 6631 CROMA ELECTRONICS,Shopping,-2971.16
TXN00147,15-02-2025,NEFT-TRANSFER-6180,Income & Transfers,-7406.32
TXN00148,27-06-2025,UPI-REFUND-AMAZON-1536@ybl,Income & Transfers,38367.60
TXN00149,10-03-2025,POS 3320 SPENCERS RETAIL,Groceries,"Rs. -1,876.40"
TXN00150,26-05-2025,UPI-TUITIONFEE-9824@ybl,Education,"Rs. -3,962.27"
TXN00151,26-06-2025,UPI-DTHRECHARGE-7686@paytm,Bills & Utilities,"Rs. -3,242.23"
TXN00152,15-02-2025,METRO RECHARGE CARD 5272,Transport,-569.96
TXN00153,29-06-2025,STARBUCKS COFFEE #9920,Food & Dining,Rs. -724.97
TXN00154,07-06-2025,STEAM GAMES PURCHASE 2646,Entertainment,-1072.40
TXN00155,23-04-2025,UPI-NYKAA-7971@ybl,Shopping,-5583.18
TXN00156,26-03-2025,POS 6631 CROMA ELECTRONICS,Shopping,-1250.66
TXN00157,01-06-2025,POS 6631 CROMA ELECTRONICS,Shopping,"Rs. -5,349.20"
TXN00158,15-01-2025,POS 9001 INDIAN OIL PETROL,Transport,-696.67
TXN00159,26-04-2025,POS 4470 GAMEZONE ARCADE,Entertainment,-760.79
TXN00160,24-04-2025,POS 9001 INDIAN OIL PETROL,Transport,Rs. -389.15
TXN00161,10-03-2025,UPI-P2M-4728@ybl,Shopping,"Rs. -3,024.50"
TXN00162,22-06-2025,MC DONALDS IN 3222,Food & Dining,Rs. -887.59
TXN00163,06-02-2025,UPI-MEESHOFOOD-8886@ybl,Food & Dining,-676.59
TXN00164,14-04-2025,BBPS-WATERBOARD-7498,Bills & Utilities,Rs. -452.69
TXN00165,21-06-2025,UPI-DTHRECHARGE-1410@paytm,Bills & Utilities,-244.16
TXN00166,06-06-2025,MORE SUPERMARKET 4727,Groceries,-1492.60
TXN00167,30-05-2025,IMPS-FROM-RAHUL-K-9229,Income & Transfers,"Rs. 39,153.98"
TXN00168,30-01-2025,BBPS-ELECTRICITY-2163,Bills & Utilities,-3036.67
TXN00169,14-05-2025,BBPS-WATERBOARD-6280,Bills & Utilities,-3620.07
TXN00170,15-02-2025,POS 1187 RELIANCE FRESH,Groceries,-2725.11
TXN00171,29-05-2025,PARKPLUS TOLL 7246,Transport,Rs. -853.02
TXN00172,20-05-2025,SPOTIFY AB 1224,Entertainment,Rs. -393.78
TXN00173,03-02-2025,UPI-HPCLPETROL-8651@paytm,Transport,-413.96
TXN00174,19-01-2025,BBPS-WATERBOARD-7252,Bills & Utilities,
TXN00175,20-01-2025,POS 3391 MEDPLUS HEALTH,Healthcare,"Rs. -2,536.52"
TXN00176,24-03-2025,POS 7765 NETMEDS PHARMACY,Healthcare,-3148.22
TXN00177,16-05-2025,POS 6631 CROMA ELECTRONICS,Shopping,"Rs. -2,391.77"
TXN00178,06-01-2025,ZOMATO ONLINE ORDER 6881,Food & Dining,Rs. -669.94
TXN00179,27-04-2025,UPI-P2M-1231@ybl,Shopping,-4115.81
TXN00180,11-05-2025,UPI-HOUSERENT-2169@okhdfc,Rent & Housing,-10369.05
TXN00181,15-05-2025,BBPS-ELECTRICITY-2496,Bills & Utilities,-1791.33
TXN00182,17-01-2025,UPI-HOTSTAR-5304@ybl,Entertainment,"Rs. -1,405.09"
TXN00183,10-03-2025,POS 8810 RETAIL OUTLET,Shopping,"Rs. -1,065.38"
TXN00184,07-04-2025,COURSERA INC 1823,Education,-3205.22
TXN00185,24-01-2025,POS 4521 CCD MG ROAD,Food & Dining,-244.80
TXN00186,24-04-2025,UPI-4155-PAYMENT@paytm,Shopping,-2277.10
TXN00187,20-05-2025,UPI-TUITIONFEE-2989@ybl,Education,-14188.86
TXN00188,02-04-2025,NATURE BASKET STORE 7381,Groceries,-2582.72
TXN00189,11-03-2025,BBPS-WATERBOARD-6378,Bills & Utilities,"Rs. -2,416.80"
TXN00190,02-05-2025,BIGBASKET.COM 5136,Groceries,"Rs. -2,090.85"
TXN00191,04-01-2025,APOLLO PHARMACY 3615,Healthcare,"Rs. -3,002.83"
TXN00192,10-06-2025,BIGBASKET.COM 8622,Groceries,-2962.83
TXN00193,21-04-2025,NATURE BASKET STORE 9004,Groceries,-1778.42
TXN00194,11-06-2025,BBPS-WATERBOARD-5097,Bills & Utilities,Rs. -606.53
TXN00195,04-04-2025,POS 4470 GAMEZONE ARCADE,Entertainment,-177.10
TXN00196,30-03-2025,POS 4521 CCD MG ROAD,Food & Dining,-1067.26
TXN00197,18-05-2025,AMAZON.IN 4073,Shopping,"Rs. -5,536.96"
TXN00198,04-01-2025,UPI-7924-PAYMENT@paytm,Shopping,"Rs. -3,802.25"
TXN00199,27-04-2025,UPI-BOOKMYSHOW-5494@okhdfc,Entertainment,-1447.44
TXN00200,15-01-2025,UPI-OLACABS-4456@okhdfc,Transport,-71.61
TXN00201,18-05-2025,APOLLO PHARMACY 9889,Healthcare,-1868.77
TXN00202,11-06-2025,IMPS-TO-MOM-8916,Income & Transfers,-20841.39
TXN00203,29-01-2025,POS 6631 CROMA ELECTRONICS,Shopping,"Rs. -4,115.61"
TXN00204,01-02-2025,UPI-DOMINOS PIZZA-5562@okaxis,Food & Dining,-1171.66
TXN00205,29-04-2025,UPI-BOOKMYSHOW-9042@okhdfc,Entertainment,Rs. -433.37
TXN00206,02-05-2025,ATM WDL CASH 2869,Income & Transfers,"Rs. -11,324.72"
TXN00207,22-03-2025,BBPS-BROADBAND-ACT-4262,Bills & Utilities,-3134.81
TXN00208,25-01-2025,UPI-SPLITWISE-SETTLE-6310@okaxis,Income & Transfers,-1486.98
TXN00209,09-05-2025,UPI-CHAIPOINT-5632@okhdfc,Food & Dining,-607.93
TXN00210,17-01-2025,UPI-HOTSTAR-5304@ybl,Entertainment,"Rs. -1,405.09"
TXN00211,01-01-2025,POS 1187 RELIANCE FRESH,Groceries,"Rs. -2,223.57"
TXN00212,30-03-2025,UPI-ZEPTO-9849@okaxis,Groceries,-2309.28
TXN00213,03-05-2025,UPI-BURGERKING-5978@paytm,Food & Dining,-901.77
TXN00214,08-01-2025,POS 7765 NETMEDS PHARMACY,Healthcare,"Rs. -4,850.96"
TXN00215,16-06-2025,POS 2210 LIFESTYLE STORE,Shopping,-1935.61
TXN00216,05-01-2025,IRCTC WEB 4527,Transport,
TXN00217,19-03-2025,UPI-GASBILLPAY-7653@ybl,Bills & Utilities,-1981.03
TXN00218,07-05-2025,UPI-GASBILLPAY-2330@ybl,Bills & Utilities,Rs. -300.82
TXN00219,18-06-2025,IMPS-TO-MOM-6992,Income & Transfers,"Rs. -8,309.07"
TXN00220,18-02-2025,UPI-BURGERKING-2638@paytm,Food & Dining,Rs. -605.54
TXN00221,18-01-2025,AMAZON.IN 2796,Shopping,-1016.29
TXN00222,18-02-2025,UPI-DOMINOS PIZZA-9288@okaxis,Food & Dining,-796.64
TXN00223,29-06-2025,UPI-AJIO-6942@okicici,Shopping,Rs. -848.64
TXN00224,13-05-2025,POS 6631 CROMA ELECTRONICS,Shopping,"Rs. -5,046.55"
TXN00225,05-06-2025,METRO RECHARGE CARD 8994,Transport,Rs. -862.30
TXN00226,27-05-2025,METRO RECHARGE CARD 4090,Transport,-85.78
TXN00227,09-06-2025,NATURE BASKET STORE 3950,Groceries,"Rs. -3,021.86"
TXN00228,03-03-2025,UPI-BLINKIT-2684@ybl,Groceries,"Rs. -2,833.05"
TXN00229,28-03-2025,UPI-HOTSTAR-8939@ybl,Entertainment,-526.10
TXN00230,24-01-2025,UNIVERSITY EXAM FEE 4258,Education,-9686.18
TXN00231,24-03-2025,UPI-AJIO-2988@okicici,Shopping,-5717.32
TXN00232,21-04-2025,UPI-AJIO-8800@okicici,Shopping,-1258.77
TXN00233,24-05-2025,DECATHLON SPORTS 4122,Shopping,-5361.48
TXN00234,03-03-2025,UPI-HPCLPETROL-3532@paytm,Transport,-127.53
TXN00235,18-01-2025,POS 8842 PVR CINEMAS,Entertainment,-878.11
TXN00236,06-02-2025,IMPS-TO-MOM-4872,Income & Transfers,-54837.81
TXN00237,26-05-2025,FORTIS HOSPITAL BILLDESK 9022,Healthcare,"Rs. -2,164.65"
TXN00238,13-03-2025,POS 1140 UDEMY ONLINE,Education,-9626.28
TXN00239,19-03-2025,UPI-RAPIDO-3085@ybl,Transport,-373.76
TXN00240,23-03-2025,UPI-AJIO-7291@okicici,Shopping,"Rs. -1,592.60"
TXN00241,30-01-2025,SWIGGY*ORD6413 BANGALORE,Food & Dining,Rs. -746.72
TXN00242,07-02-2025,PARKPLUS TOLL 3536,Transport,-511.25
TXN00243,29-01-2025,POS 8810 RETAIL OUTLET,Shopping,"Rs. -1,300.53"
TXN00244,24-05-2025,UPI-SPLITWISE-SETTLE-3236@okaxis,Income & Transfers,-14361.09
TXN00245,16-03-2025,,Shopping,"Rs. -5,249.96"
TXN00246,24-04-2025,,Transport,-491.01
TXN00247,21-01-2025,UPI-P2M-8123@ybl,Shopping,"Rs. -3,813.56"
TXN00248,07-04-2025,POS 7719 BARBEQUE NATION,Food & Dining,-408.26
TXN00249,09-05-2025,POS 8842 PVR CINEMAS,Entertainment,-702.71
TXN00250,13-04-2025,,Food & Dining,Rs. -948.24
TXN00251,26-03-2025,ATM WDL CASH 9270,Income & Transfers,-8168.34
TXN00252,28-02-2025,UPI-MEESHOFOOD-8007@ybl,Food & Dining,-1051.33
TXN00253,10-05-2025,SPOTIFY AB 4241,Entertainment,-1229.80
TXN00254,16-03-2025,UPI-AJIO-6967@okicici,Shopping,-5006.21
TXN00255,07-03-2025,SPOTIFY AB 7745,Entertainment,"Rs. -1,103.43"
TXN00256,18-06-2025,POS 0092 GENERAL STORE,Groceries,"Rs. -3,246.71"
TXN00257,10-06-2025,POS 2210 LIFESTYLE STORE,Shopping,"Rs. -1,300.26"
TXN00258,23-03-2025,BBPS-ELECTRICITY-2746,Bills & Utilities,"Rs. -2,441.69"
TXN00259,10-02-2025,UPI-BURGERKING-8811@paytm,Food & Dining,Rs. -804.03
TXN00260,22-04-2025,APOLLO PHARMACY 5820,Healthcare,"Rs. -4,667.38"
TXN00261,29-05-2025,NATURE BASKET STORE 1715,Groceries,-1636.26
TXN00262,06-02-2025,BBPS-ELECTRICITY-2528,Bills & Utilities,-3278.43
TXN00263,26-05-2025,POS 3391 MEDPLUS HEALTH,Healthcare,-3864.54
TXN00264,20-05-2025,POS 0092 GENERAL STORE,Groceries,-2557.84
TXN00265,13-02-2025,UPI-BYJUS-2113@okaxis,Education,
TXN00266,01-01-2025,TEST TXN ZERO VALUE,Income & Transfers,0.00
TXN00267,06-04-2025,STARBUCKS COFFEE #7624,Food & Dining,-603.24
TXN00268,26-02-2025,MORE SUPERMARKET 9280,Groceries,-2312.62
TXN00269,26-01-2025,FLIPKART*ORDER6947,Shopping,"Rs. -4,269.25"
TXN00270,03-01-2025,STEAM GAMES PURCHASE 9928,Entertainment,Rs. -338.32
TXN00271,09-01-2025,APOLLO PHARMACY 4814,Healthcare,-4160.81
TXN00272,26-04-2025,POS 3320 SPENCERS RETAIL,Groceries,"Rs. -1,747.10"
TXN00273,29-05-2025,IMPS-FROM-RAHUL-K-7274,Income & Transfers,"Rs. 47,287.53"
TXN00274,26-02-2025,AMAZON.IN 2512,Shopping,-4516.40
TXN00275,14-03-2025,UPI-GASBILLPAY-1626@ybl,Bills & Utilities,-3811.56
TXN00276,29-05-2025,IRCTC WEB 9115,Transport,-571.40
TXN00277,23-04-2025,UPI-BLINKIT-6016@ybl,Groceries,"Rs. -2,241.49"
TXN00278,19-04-2025,POS 2210 LIFESTYLE STORE,Shopping,"Rs. -1,791.54"
TXN00279,09-04-2025,NATURE BASKET STORE 5133,Groceries,-3069.62
TXN00280,15-06-2025,APOLLO PHARMACY 6977,Healthcare,"Rs. -1,181.77"
TXN00281,17-01-2025,BBPS-WATERBOARD-8517,Bills & Utilities,"Rs. -1,069.43"
TXN00282,28-03-2025,UPI-GASBILLPAY-8206@ybl,Bills & Utilities,Rs. -537.07
TXN00283,05-04-2025,UPI-AJIO-8999@okicici,Shopping,"Rs. -1,070.67"
TXN00284,20-02-2025,POS 7765 NETMEDS PHARMACY,Healthcare,"Rs. -2,919.82"
TXN00285,12-04-2025,UPI-AJIO-8619@okicici,Shopping,-1152.72
TXN00286,16-04-2025,UPI-TUITIONFEE-2729@ybl,Education,"Rs. -11,340.34"
TXN00287,14-03-2025,POS 7719 BARBEQUE NATION,Food & Dining,Rs. -628.44
TXN00288,21-06-2025,BSNL LANDLINE BILL 4626,Bills & Utilities,-1691.48
TXN00289,10-06-2025,POS 1000 SERVICES PVT LTD,Bills & Utilities,"Rs. -3,338.10"
TXN00290,12-04-2025,POS 4470 GAMEZONE ARCADE,Entertainment,-1486.45
TXN00291,27-03-2025,POS 8842 PVR CINEMAS,Entertainment,-616.65
TXN00292,24-05-2025,CASH DEPOSIT BRANCH 2143,Income & Transfers,"Rs. 52,270.88"
TXN00293,14-03-2025,SPOTIFY AB 8149,Entertainment,-524.46
TXN00294,19-05-2025,UPI-BOOKMYSHOW-5375@okhdfc,Entertainment,-1138.50
TXN00295,12-03-2025,NEFT-TRANSFER-9785,Income & Transfers,-53523.02
TXN00296,20-01-2025,UPI-HOTSTAR-5371@ybl,Entertainment,-1449.30
TXN00297,19-04-2025,UPI-BYJUS-5569@okaxis,Education,-986.22
TXN00298,23-01-2025,IMPS-TO-MOM-3927,Income & Transfers,-59146.20
TXN00299,28-01-2025,UPI-MEESHOFOOD-3705@ybl,Food & Dining,-814.76
TXN00300,22-06-2025,SWIGGY*ORD5986 BANGALORE,Food & Dining,-1186.00
TXN00301,26-05-2025,NATURE BASKET STORE 6568,Groceries,-1835.60
TXN00302,01-03-2025,NEFT-FREELANCE-PAYMENT-3442,Income & Transfers,"Rs. -30,562.52"
TXN00303,18-01-2025,POS 4521 CCD MG ROAD,Food & Dining,-598.46
TXN00304,17-05-2025,METRO RECHARGE CARD 6260,Transport,Rs. -93.71
TXN00305,10-03-2025,UPI-TUITIONFEE-4644@ybl,Education,"Rs. -13,642.14"
TXN00306,16-03-2025,UPI-JIOPREPAID-5920@okaxis,Bills & Utilities,"Rs. -1,789.32"
TXN00307,28-02-2025,FLIPKART*ORDER2232,Shopping,"Rs. -4,604.88"
TXN00308,11-06-2025,POS 2210 LIFESTYLE STORE,Shopping,-3431.09
TXN00309,27-02-2025,UPI-GASBILLPAY-1722@ybl,Bills & Utilities,"Rs. -3,265.97"
TXN00310,08-01-2025,UNIVERSITY EXAM FEE 5333,Education,-8427.30
TXN00311,15-05-2025,UPI-BOOKMYSHOW-8708@okhdfc,Entertainment,Rs. -261.78
TXN00312,25-01-2025,CASH DEPOSIT BRANCH 9689,Income & Transfers,35658.13
TXN00313,14-04-2025,IMPS-FROM-RAHUL-K-2245,Income & Transfers,"Rs. 34,681.15"
